Config,Version,GFLOPS,L1DataSetSize,L2DataSetSize,L3DataSetSize,MemDataSetSize,Version,GFLOPS,L1DataSetSize,L2DataSetSize,L3DataSetSize,MemDataSetSize,Version,GFLOPS,L1DataSetSize,L2DataSetSize,L3DataSetSize,MemDataSetSize,Version,GFLOPS,L1DataSetSize,L2DataSetSize,L3DataSetSize,MemDataSetSize
100 56 56 64 256 1 1 0 0 1,2,85.409,34592,89608,6475784,0,3,87.333,34592,333328,4007936,0,4,85.412,34592,89608,6475784,0,5,87.678,34592,333328,4007936,0
100 56 56 64 64 1 1 0 0 1,2,83.204,34592,89608,1593344,0,3,83.903,34592,89608,1593344,0,4,84.13,34592,89608,1593344,0,5,84.166,34592,89608,1593344,0
100 56 56 64 64 3 3 1 1 1,2,97.375,34592,952080,1782272,0,3,97.096,34592,952080,1782272,0,4,85.035,34592,89608,14794248,0,5,85.271,34592,89608,14794248,0
100 56 56 256 64 1 1 0 0 1,2,85.095,34592,89608,6475784,0,3,91.575,34592,333328,4007936,0,4,84.842,34592,89608,6475784,0,5,85.067,34592,89608,6475784,0
100 28 28 256 512 1 1 0 0 1,2,92.828,95528,1673224,3735560,0,3,95.626,95528,1327120,2846720,0,4,93.092,95528,1673224,3735560,0,5,87.093,95528,367624,6411272,0
100 28 28 256 128 1 1 0 0 1,2,90.845,95528,1673224,2138112,0,3,93.93,95528,454664,1292288,0,4,91.197,95528,1673224,2138112,0,5,94.905,126240,1302544,1101824,0
100 28 28 128 128 3 3 1 1 1,2,98.702,155940,4285196,0,0,3,98.304,126240,2774032,1422336,0,4,98.4,95528,8680456,0,0,5,97.537,126240,7995152,0,0
100 28 28 128 512 1 1 0 0 1,2,91.351,95528,1873928,2035712,0,3,92.943,126240,682000,2197504,0,4,92.292,95528,1873928,2035712,0,5,86.529,95528,367624,5747712,0
100 28 28 512 128 1 1 0 0 1,2,92.831,95528,821256,5595136,0,3,94.635,95528,897032,2197504,0,4,92.938,95528,821256,5595136,0,5,95.68,126240,1302544,2035712,0
100 14 14 512 1024 1 1 0 0 1,2,93.264,81192,1325072,3120128,0,3,65.764,81192,306696,7447048,0,4,93.762,81192,1325072,3120128,0,5,69.896,81192,626184,5158408,0
100 14 14 512 256 1 1 0 0 1,2,95.661,81192,2270224,0,0,3,96.435,81192,1306640,1083392,0,4,96.016,81192,2270224,0,0,5,93.485,81192,1772560,0,0
100 14 14 256 256 3 3 1 1 1,2,92.651,127268,2700572,2182144,0,3,65.757,81192,2805780,10074116,0,4,95.149,81192,4765720,2182144,0,5,91.176,81192,4632344,2166784,0
100 14 14 256 1024 1 1 0 0 1,2,91.857,81192,792592,1936384,0,3,72.848,81192,146952,4151816,0,4,92.371,81192,792592,1936384,0,5,69.684,81192,626184,3909128,0
100 14 14 1024 256 1 1 0 0 1,2,91.512,81192,1274888,2854920,0,3,70.514,81192,1480712,3100680,0,4,92.021,81192,1274888,2854920,0,5,90.557,81192,761872,1936384,0
100 7 7 1024 2048 1 1 0 0 1,2,80.482,74024,1001232,8716032,0,3,49.969,74024,567048,25590024,0,4,81.336,74024,1001232,8716032,0,5,48.065,74024,2966032,8453888,0
100 7 7 1024 512 1 1 0 0 1,2,80.046,74024,1001232,2123520,0,3,44.957,74024,567048,6371592,0,4,80.747,74024,1001232,2123520,0,5,69.179,74024,748048,2254592,0
100 7 7 512 512 3 3 1 1 1,2,75.663,112932,917524,11059208,0,3,49.491,74024,1220616,47654928,0,4,81.851,74024,3893776,9869320,0,5,69.497,74024,4096528,9803784,0
100 7 7 512 2048 1 1 0 0 1,2,79.754,74024,538384,4552448,0,3,47.931,74024,276232,13023496,0,4,80.315,74024,538384,4552448,0,5,46.433,74024,2966032,4159232,0
100 7 7 2048 512 1 1 0 0 1,2,79.641,74024,1926928,4159232,0,3,48.064,74024,1148680,12630280,0,4,80.419,74024,1926928,4159232,0,5,69.453,74024,748048,4552448,0
